user_id,order_number,product_id
1,11,47
1,11,35
2,18,81
2,18,119
2,18,120
2,18,121
2,18,67
2,18,122
2,18,123
2,18,124
3,3,130
4,11,142
4,11,183
4,11,145
4,11,201
4,11,156
4,11,202
4,11,78
4,11,59
4,11,194
4,11,153
4,11,15
4,11,171
4,11,203
5,7,258
5,7,259
5,7,260
5,7,155
5,7,261
6,6,284
6,6,285
7,9,330
7,9,334
7,9,106
7,9,335
7,9,68
7,9,336
7,9,295
7,9,251
8,9,41
8,9,365
8,9,366
8,9,351
8,9,148
8,9,9
8,9,367
8,9,11
8,9,107
8,9,368
8,9,187
8,9,257
9,9,390
9,9,43
9,9,387
9,9,374
9,9,235
9,9,285
9,9,429
9,9,15
9,9,430
10,10,399
10,10,68
10,10,444
10,10,459
10,10,458
10,10,460
11,3,466
11,3,471
11,3,472
11,3,473
11,3,462
11,3,106
11,3,467
12,12,523
12,12,492
12,12,524
12,12,501
12,12,525
12,12,484
12,12,526
12,12,29
12,12,478
12,12,59
12,12,438
12,12,527
12,12,128
12,12,485
13,5,529
13,5,32
13,5,536
13,5,537
13,5,538
14,5,547
15,8,27
15,8,553
15,8,554
15,8,555
16,19,559
16,19,619
16,19,575
16,19,235
16,19,620
16,19,621
16,19,602
16,19,622
16,19,43
16,19,568
16,19,113
16,19,623
16,19,114
16,19,140
16,19,59
16,19,624
16,19,578
16,19,604
16,19,625
16,19,596
17,6,356
17,6,662
17,6,663
17,6,454
17,6,218
17,6,664
17,6,665
17,6,652
17,6,606
17,6,637
17,6,641
17,6,124
17,6,639
17,6,618
17,6,655
17,6,292
17,6,15
17,6,644
17,6,507
17,6,103
17,6,647
17,6,648
18,11,734
19,17,41
19,17,778
19,17,228
19,17,167
19,17,498
19,17,382
19,17,477
19,17,43
19,17,779
19,17,737
19,17,780
19,17,781
19,17,9
19,17,782
20,12,32
21,12,15
21,12,832
21,12,86
21,12,833
21,12,662
21,12,824
21,12,485
22,4,840
22,4,527
22,4,841
23,13,879
23,13,871
23,13,120
23,13,862
23,13,794
23,13,8
23,13,59
23,13,880
23,13,881
23,13,882
23,13,251
24,31,63
24,31,507
24,31,472
24,31,692
24,31,919
24,31,601
24,31,903
24,31,15
25,3,875
25,3,929
25,3,930
25,3,931
25,3,446
25,3,203
25,3,492
25,3,932
25,3,933
25,3,425
25,3,934
25,3,935
25,3,936
25,3,937
25,3,15
25,3,938
25,3,685
25,3,925
25,3,915
25,3,167
25,3,939
25,3,940
26,5,942
26,5,943
26,5,305
26,5,949
26,5,950
26,5,951
27,13,15
27,13,528
27,13,356
27,13,20
27,13,103
27,13,73
27,13,308
27,13,970
27,13,291
27,13,256
27,13,637
27,13,596
28,7,868
28,7,356
28,7,971
28,7,489
28,7,919
28,7,975
28,7,1007
28,7,795
28,7,305
28,7,976
28,7,984
28,7,225
28,7,1008
28,7,985
28,7,113
28,7,416
28,7,59
28,7,505
28,7,1009
28,7,15
28,7,1010
28,7,1011
28,7,1012
28,7,230
28,7,148
28,7,251
29,4,1016
29,4,419
29,4,103
29,4,1017
30,3,1022
30,3,614
31,3,1026
31,3,461
31,3,1032
31,3,1030
31,3,1033
32,4,1056
32,4,1025
32,4,235
32,4,567
32,4,683
32,4,1057
32,4,922
32,4,135
32,4,1058
32,4,1059
32,4,28
32,4,59
32,4,1060
32,4,15
32,4,1039
32,4,167
32,4,1042
32,4,1043
32,4,148
32,4,11
33,9,416
33,9,390
33,9,86
33,9,215
33,9,1063
33,9,1065
33,9,865
34,3,1089
34,3,32
34,3,262
34,3,1090
34,3,1085
34,3,1091
34,3,998
34,3,1092
34,3,1074
34,3,43
34,3,1093
34,3,1094
34,3,1095
34,3,1096
34,3,53
34,3,1097
34,3,710
34,3,1098
35,6,964
35,6,1102
36,3,1104
36,3,1114
36,3,1109
36,3,1115
36,3,173
36,3,43
36,3,862
36,3,817
36,3,469
37,12,756
37,12,815
37,12,1135
37,12,1042
37,12,1142
37,12,15
38,9,262
38,9,1176
38,9,642
38,9,728
38,9,1177
38,9,206
38,9,1146
38,9,1069
38,9,1178
38,9,177
38,9,1179
38,9,1151
38,9,378
38,9,15
38,9,882
38,9,1180
38,9,1153
39,10,699
39,10,262
39,10,1201
39,10,111
39,10,177
39,10,1185
39,10,1195
39,10,375
39,10,257
39,10,1196
39,10,149
39,10,1202
39,10,1203
39,10,1204
40,3,1211
40,3,62
40,3,20
40,3,106
40,3,1212
40,3,59
41,12,480
41,12,491
41,12,1228
41,12,249
41,12,1229
42,8,455
42,8,324
42,8,1100
