user_id,order_number,product_id
1,11,1.0
1,11,2.0
1,11,19.0
1,11,14.0
1,11,6.0
1,11,16.0
1,11,4.0
1,11,9.0
1,11,18.0
1,11,7.0
1,11,15.0
2,15,116.0
2,15,117.0
2,15,23.0
2,15,118.0
2,15,119.0
2,15,47.0
2,15,29.0
2,15,111.0
2,15,81.0
2,15,120.0
2,15,83.0
2,15,112.0
2,15,121.0
2,15,45.0
2,15,76.0
2,15,122.0
2,15,123.0
2,15,13.0
2,15,124.0
2,15,125.0
2,15,86.0
2,15,126.0
2,15,24.0
2,15,127.0
2,15,128.0
2,15,129.0
2,15,130.0
2,15,131.0
2,15,132.0
3,12,140.0
3,12,158.0
3,12,135.0
3,12,136.0
3,12,28.0
3,12,139.0
4,5,172.0
4,5,173.0
4,5,174.0
5,5,191.0
5,5,177.0
5,5,196.0
5,5,197.0
5,5,189.0
5,5,108.0
5,5,198.0
5,5,184.0
5,5,199.0
6,3,208.0
6,3,209.0
6,3,210.0
7,21,232.0
7,21,261.0
7,21,239.0
7,21,23.0
7,21,221.0
7,21,217.0
7,21,223.0
7,21,265.0
7,21,228.0
8,4,296.0
8,4,290.0
8,4,297.0
8,4,292.0
8,4,180.0
8,4,298.0
8,4,299.0
8,4,300.0
8,4,301.0
8,4,136.0
8,4,302.0
8,4,303.0
8,4,304.0
8,4,28.0
8,4,210.0
8,4,276.0
8,4,305.0
9,4,328.0
9,4,334.0
9,4,335.0
9,4,61.0
9,4,331.0
9,4,337.0
9,4,336.0
9,4,338.0
9,4,329.0
9,4,341.0
9,4,318.0
9,4,342.0
9,4,343.0
9,4,237.0
9,4,66.0
9,4,346.0
9,4,182.0
9,4,330.0
9,4,348.0
9,4,349.0
9,4,69.0
9,4,70.0
10,6,410.0
10,6,411.0
10,6,412.0
11,7,266.0
11,7,454.0
11,7,434.0
11,7,455.0
11,7,456.0
11,7,295.0
11,7,419.0
11,7,457.0
11,7,431.0
11,7,8.0
11,7,458.0
11,7,459.0
11,7,460.0
11,7,461.0
12,5,258.0
12,5,266.0
12,5,490.0
12,5,157.0
12,5,361.0
12,5,147.0
12,5,491.0
12,5,30.0
12,5,465.0
12,5,492.0
12,5,391.0
12,5,199.0
12,5,493.0
12,5,494.0
12,5,495.0
12,5,496.0
12,5,144.0
12,5,467.0
12,5,497.0
12,5,471.0
12,5,8.0
13,13,504.0
13,13,498.0
13,13,501.0
13,13,505.0
14,14,601.0
14,14,522.0
14,14,550.0
14,14,614.0
14,14,543.0
14,14,576.0
14,14,605.0
15,22,615.0
15,22,1.0
16,6,647.0
16,6,175.0
16,6,189.0
16,6,648.0
16,6,142.0
16,6,649.0
16,6,47.0
16,6,521.0
16,6,640.0
16,6,650.0
17,41,715.0
17,41,655.0
17,41,707.0
17,41,716.0
17,41,249.0
17,41,35.0
18,7,178.0
18,7,735.0
18,7,86.0
18,7,736.0
18,7,717.0
18,7,142.0
18,7,737.0
18,7,738.0
18,7,722.0
18,7,723.0
19,9,769.0
19,9,811.0
19,9,812.0
19,9,813.0
19,9,814.0
19,9,121.0
19,9,815.0
19,9,816.0
19,9,817.0
19,9,818.0
19,9,819.0
19,9,820.0
19,9,821.0
19,9,822.0
19,9,755.0
19,9,754.0
19,9,823.0
19,9,598.0
19,9,808.0
20,4,826.0
20,4,827.0
20,4,121.0
20,4,825.0
20,4,824.0
20,4,829.0
20,4,828.0
21,34,891.0
21,34,898.0
21,34,890.0
21,34,893.0
21,34,871.0
21,34,440.0
